Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Аврамчук,Кирило,Юрійович,Чоловіча,1978-05-15,Сантехнік,хутір Білицьке,"сквер Восьмого Березня Лінія 2-га, буд. 0, Нове Давидково, 77468",009 980 99 79,havrylivroksolana@example.net
Ейбоженко,Соломон,Володимирович,Чоловіча,1990-02-07,Хореограф,місто Ірпінь,"вулиця Прорізна, буд. 7 кв. 960, Родинське, 51595",+380 (73) 057-46-59,ibandera@example.org
Наливайко,Ганна,Ярославівна,Жіноча,2007-12-17,Зоолог,селище Монастириська,"узвіз Ляпунова, буд. 56 кв. 89, Жданівка, 44680",+380 11 418-52-77,irenalemeshko@example.com
Гайворонська,Ярема,Григорович,Чоловіча,1953-01-24,Драматург,селище Ірпінь,"вулиця Акордна, буд. 0, Березань , 90207",+380 (87) 646-29-26,larysakhmara@example.org
Ісаєвич,Гордій,Дмитрович,Чоловіча,1952-07-26,Клоун,село Бориспіль,"набережна Марсельська, буд. 323 кв. 4, Пирятин, 78744",+380 62 678 88 97,szhadan@example.com
Оробець,Дмитро,Григорович,Чоловіча,1978-01-24,Гицель,хутір Скалат,"провулок Овідіопольський, буд. 03 кв. 3, Нове Давидково, 25646",036 365 21 39,jlesyk@example.org
Асаула,Демид,Андрійович,Чоловіча,1980-03-08,М'ясник,хутір Львів,"набережна Лінія 44-та, буд. 497, Тульчин, 95727",+380 88 841 27 50,orestzabara@example.org
Щириця,Охрім,Васильович,Чоловіча,1941-03-12,Математик,село Городня,"проспект Шкільний аеродром, буд. 6 кв. 789, Берислав, 06301",+380 93 011 41 21,onyshchenkomykhailo@example.com
Данильчук,Борислав,Романович,Чоловіча,1956-01-25,Музикант,місто Покров,"провулок Лиманчик 2-й Лінія 1-ша, буд. 8 кв. 633, Устилуг, 55054",+380 36 659-62-51,skyrdaopanas@example.net
Арсенич,Юстина,Олександрівна,Жіноча,1938-11-02,Ботанік,місто Лубни,"парк Пісочна, буд. 1, Єнакієве, 24491",+380 (29) 166-86-27,darynachmil@example.com
Скирда,Алла,Леонідівна,Жіноча,1944-10-04,Модельєр,село Заліщики,"сквер Першотравневий 3-й, буд. 89 кв. 8, Ізюм, 12931",443 78 19,ivasylevych@example.com
Тимчук,Галина,Павлівна,Жіноча,1969-02-28,Маркетолог,хутір Попасна,"узвіз Глазунова, буд. 35 кв. 92, Сорокине, 36186",+380 (96) 693-41-66,ihnatzaichenko@example.com
Іваненко,Еріка,Володимирівна,Жіноча,1986-10-20,Футболіст,хутір Енергодар,"узвіз Цимлянська, буд. 88, Скалат, 69052",043 628-90-72,rozaliia78@example.net
Алексеєнко,Борис,Петрович,Чоловіча,1945-05-05,Підприємець,хутір Українськ,"набережна Лінія 44-та, буд. 45 кв. 2, Кам'янка (Черкаська область), 40741",+380 34 300-17-09,ihnatnestaiko@example.com
Микитюк,Розалія,Андріївна,Жіноча,1985-04-27,Піаніст,селище Сновськ,"площа ім. С.Ю. Вітте, буд. 253 кв. 1, Каховка, 42759",089 611-13-63,derehusfrants@example.org
Свистун,Мартин,Романович,Чоловіча,1982-10-27,Гицель,селище Саки ,"вулиця Весела, буд. 455, Первомайський , 05385",+380 52 298-61-39,ghuk@example.org
Чміль,Ігор,Романович,Чоловіча,1977-04-03,Мірошник,селище Самбір,"шосе Героїв оборони Одеси, буд. 784 кв. 816, Антрацит , 69120",+380 09 268 45 47,marusia53@example.com
Чекалюк,Кирило,Федорович,Чоловіча,1945-03-28,Державний службовець,село Васильків,"парк Балтський 8-й, буд. 598 кв. 7, Лутугине, 53895",800 56 63,nataliia13@example.net
Дубас,Назар,Григорович,Чоловіча,1945-12-07,Кур'єр,місто Запоріжжя,"сквер Горизонтальна, буд. 419 кв. 656, Донецьк, 12469",+380 42 491-69-59,marta64@example.org
Царенко,Володимира,Василівна,Жіноча,1976-08-16,Футболіст,селище Великі Мости,"сквер Петрашевського, буд. 43 кв. 550, Здолбунів, 46281",+380 35 341-87-37,dvasylechko@example.net
Тягнибок,Тимофій,Романович,Чоловіча,2008-01-29,Гірник,селище Коростень,"парк Ванний, буд. 1, Остер , 47579",+380 (52) 032-78-92,jruban@example.com
Овсієнко,Орися,Віталіївна,Жіноча,1954-03-13,Стоматолог,село Білогірськ,"сквер Ремонтна, буд. 43 кв. 547, Рудки, 36588",398 04 32,zostapchuk@example.net
Черінько,Богданна,Дмитрівна,Жіноча,1996-03-31,Ботанік,хутір Болград,"парк Академіка Воробйова, буд. 183, Зимогір'я, 78233",036 748 64 67,aaronhavrysh@example.net
Павличенко,Марʼяна,Андріївна,Жіноча,2002-09-02,Гірник,село Полонне,"провулок Щоголєва, буд. 5, Хрестівка, 56882",083 123 77 46,mishchenkosofiia@example.net
Палій,Марко,Сергійович,Чоловіча,1952-06-20,Електрик,місто Пологи ,"проспект Івана Микитенка, буд. 39 кв. 1, Бережани, 36803",+380 25 474-39-66,iustynalevchenko@example.net
Сірко,Омелян,Федорович,Чоловіча,1959-02-25,Стоматолог,село Вознесенівка,"проспект Сирітський, буд. 596, Лозова , 75266",+380 (30) 846-12-80,leopoldmatviienko@example.org
Архипенко,Назар,Романович,Чоловіча,1988-01-21,Гірник,місто Гірське,"шосе Нафтовиків, буд. 433 кв. 1, Нове Давидково, 09062",559 74 17,hbebeshko@example.net
Ковпак,Розалія,Богданівна,Жіноча,2001-01-26,Дизайнер,село Торецьк,"проспект Старосінна, буд. 620 кв. 5, Городня, 41734",+380 05 283-70-98,nadiia29@example.org
Ґерета,Охрім,Петрович,Чоловіча,1985-11-15,Дизайнер,село Генічеськ,"провулок Макаренка, буд. 5 кв. 98, Бурштин , 28987",+380 80 737-70-34,valentyna64@example.com
Колісниченко,Климент,Федорович,Чоловіча,1997-12-06,Письменник,село Мукачево,"вулиця Восьмого березня 1-й, буд. 26, Стрий, 42296",+380 01 567-99-13,ustymdurdynets@example.net
Чумак,Гаврило,Васильович,Чоловіча,1949-11-23,Астронавт,хутір Роздільна,"сквер Виноградний тупик, буд. 29, Ірпінь, 44574",+380 46 567-34-07,tzasukha@example.net
Ющенко,Михайлина,Леонідівна,Жіноча,1990-08-18,Журналіст,хутір Бердичів,"вулиця Академіка Вільямса, буд. 908, Кролевець, 57973",+380 29 423-15-15,olehnehoda@example.net
Фурс,Марʼяна,Василівна,Жіноча,1940-04-30,Няня,селище Прилуки,"шосе Рульовий, буд. 8, Південне , 01283",+380 (53) 912-27-14,larysavasylashko@example.org
Артюшенко,Вʼячеслав,Сергійович,Чоловіча,1962-02-15,Астроном,місто Долина ,"провулок Авіаційна, буд. 501, Гайсин, 66944",+380 (17) 135-13-79,chekaliukpriska@example.org
Онуфрієнко,Онисим,Олександрович,Чоловіча,1946-11-12,Бухгалтер,село Кременчук,"проспект Олександра Матросова, буд. 121 кв. 7, Заліщики, 42803",+380 00 743-68-81,iakymenkohordii@example.com
Вернигора,Ігнат,Віталійович,Чоловіча,1947-08-16,Архітектор,селище Прилуки,"парк Садова 3-тя, буд. 2 кв. 313, Андрушівка, 13634",893-78-49,lshutko@example.com
Бакуменко,Гаврило,Олександрович,Чоловіча,1998-11-03,Епідеміолог,місто Вугледар,"площа Троїцького Миколи, буд. 571, Золотоноша, 79492",090 58 78,iushchenkomariia@example.net
Даценко,Теодор,Юрійович,Чоловіча,1956-09-11,Реставратор,місто Білгород-Дністровський,"сквер Давида Ойстраха, буд. 969 кв. 5, Боярка, 29548",086 962 58 47,izaporozhets@example.com
Непорожній,Миколай,Андрійович,Чоловіча,1987-01-29,Журналіст,місто Рені,"узвіз Олександра Вронського, буд. 59 кв. 332, Шаргород, 89953",019 816-04-72,mazepaheorhii@example.net
